id,signal_id,symbol,direction,entry,stop_loss,target,entry_time,exit_time,result,reason,exit_price,pnl_pct,r_multiple,mae_pct,mae_r,mfe_pct,mfe_r,buy_score,sell_score,rr,setups,indicators
20260824011048595772_10542295,XRPUSDT|BUY|2026-08-24 00:00:00+00:00,XRPUSDT,BUY,1.5058,1.4662964842901778,1.5979748699895855,2026-08-24T06:10:48.595835+05:00,2026-08-24T07:00:11.423454+05:00,LOSS,STOP LOSS HIT,1.4662964842901778,-2.623423808594916,-1.0,2.6696772479744992,1.0176309444276774,1.1953778722273884,0.4556556467586618,59.56,15.86,2.333333333333339,"PRESSURE,VOLUME,LIQUIDITY_SWEEP,ORDER_BLOCK,BREAKER,PRICE_ACTION,ASC_TRIANGLE,BULL_FLAG","1D_BIAS,1H_TREND,4H_TREND,ASC_TRIANGLE,BULL_FLAG,DISCOUNT,LIQUIDITY_SWEEP,PRESSURE,RSI,VOLUME"
20260823140038752642_6c651932,BTCUSDT|BUY|2026-08-23 13:00:00+00:00,BTCUSDT,BUY,77487.62,76782.49088357709,78852.7476299207,2026-08-23T19:00:38.752675+05:00,2026-08-24T10:00:10.574678+05:00,LOSS,STOP LOSS HIT,76782.49088357709,-0.909989384656419,-1.0,1.055149196736202,1.159518137823762,0.35899928272414044,0.39450930832526837,70.22,12.0,1.9359966822047499,"VOLUME,LH_LL,BOS,ORDER_BLOCK,BREAKER,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,BOS,BREAKER,BULL_FLAG,ORDER_BLOCK,RANGE_BREAKOUT,RSI,VOLUME"
20260822174127520286_e797c968,SOLUSDT|BUY|2026-08-22 16:00:00+00:00,SOLUSDT,BUY,94.29,91.46130000000001,102.74,2026-08-22T22:41:27.520320+05:00,2026-08-25T06:11:51.693862+05:00,WIN,TARGET HIT,102.74,8.961713861491132,2.98723795383038,2.87411178279776,0.9580372609325876,8.99353059709406,2.9978435323646893,59.0,8.0,2.98723795383038,"PRESSURE,HH_HL,ORDER_BLOCK,BREAKER,BULL_FLAG","1D_BIAS,1H_TREND,4H_TREND,BREAKER,BULL_FLAG,DISCOUNT,HH_HL,ORDER_BLOCK,RSI"
20260825030015322947_69ca0284,AVAXUSDT|BUY|2026-08-25 02:00:00+00:00,AVAXUSDT,BUY,7.685,7.495723649558519,8.025697430794665,2026-08-25T08:00:15.322997+05:00,2026-08-25T18:12:50.641297+05:00,LOSS,STOP LOSS HIT,7.495723649558519,-2.46293234146364,-1.0,2.4983734547820338,1.0143898038617383,0.6376057254391722,0.2588807311938841,89.16,11.0,1.8000000000000003,"PRESSURE,VOLUME,HH_HL,BOS,ORDER_BLOCK,BREAKER,RESISTANCE,DOUBLE_BOTTOM,TRIPLE_BOTTOM,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,BOS,BREAKER,BULL_FLAG,DOUBLE_BOTTOM,HH_HL,ORDER_BLOCK,PRESSURE,RANGE_BREAKOUT,RSI,TRIPLE_BOTTOM,VOLUME"
20260825030015323588_1c1e7ef7,ADAUSDT|BUY|2026-08-25 02:00:00+00:00,ADAUSDT,BUY,0.2265,0.2217743843109511,0.2375264366077808,2026-08-25T08:00:15.323619+05:00,2026-08-25T18:12:50.758320+05:00,LOSS,STOP LOSS HIT,0.2217743843109511,-2.0863645426264537,-1.0,4.724061810154532,2.2642552217684693,1.0596026490066162,0.5078703301162885,76.66,14.0,2.3333333333333317,"VOLUME,HH_HL,LIQUIDITY_SWEEP,ORDER_BLOCK,BREAKER,PRICE_ACTION,DOUBLE_BOTTOM,TRIPLE_BOTTOM,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,BREAKER,BULL_FLAG,DOUBLE_BOTTOM,HH_HL,ORDER_BLOCK,PRICE_ACTION,RANGE_BREAKOUT,RSI,TRIPLE_BOTTOM,VOLUME"
20260825030015324225_bc031f05,BNBUSDT|BUY|2026-08-25 02:00:00+00:00,BNBUSDT,BUY,714.33,698.8792363281106,742.1413746094012,2026-08-25T08:00:15.324256+05:00,2026-08-25T18:12:50.874402+05:00,LOSS,STOP LOSS HIT,698.8792363281106,-2.162972809750324,-1.0,2.986014867078247,1.3805142873816005,0.6789579046099014,0.31390034195033395,67.88,21.0,1.800000000000003,"PRESSURE,VOLUME,HH_HL,LIQUIDITY_SWEEP,RESISTANCE,DOUBLE_BOTTOM,TRIPLE_BOTTOM,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,BULL_FLAG,DOUBLE_BOTTOM,HH_HL,PRESSURE,RANGE_BREAKOUT,RSI,TRIPLE_BOTTOM,VOLUME"
20260823011042275598_22fb2dbd,TRXUSDT|BUY|2026-08-23 00:00:00+00:00,TRXUSDT,BUY,0.3454,0.3417895430744065,0.35189882246606824,2026-08-23T06:10:42.275669+05:00,2026-08-25T19:00:19.076179+05:00,LOSS,STOP LOSS HIT,0.3417895430744065,-1.0452973148794078,-1.0,1.1580775911986114,1.1078930125561595,0.37637521713955513,0.36006522908075794,67.0,4.0,1.8,"PRESSURE,ORDER_BLOCK,BREAKER,PRICE_ACTION,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,BREAKER,BULL_FLAG,ORDER_BLOCK,PRESSURE,PRICE_ACTION,RANGE_BREAKOUT,RSI"
20260825030124953112_3a062102,BTCUSDT|BUY|2026-08-25 02:00:00+00:00,BTCUSDT,BUY,80649.63,78325.8956229324,84832.3518787217,2026-08-25T08:01:24.953159+05:00,2026-08-25T19:00:19.192113+05:00,LOSS,STOP LOSS HIT,78325.8956229324,-2.8812709705768134,-1.0,3.135649847370656,1.0882870370026037,0.7724647961807024,0.2680986287194153,60.01,11.0,1.800000000000001,"PRESSURE,VOLUME,HH_HL,BOS,RESISTANCE,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,BOS,BULL_FLAG,HH_HL,PRESSURE,RANGE_BREAKOUT,VOLUME"
20260825060116220515_85c1d814,ETHUSDT|BUY|2026-08-25 05:00:00+00:00,ETHUSDT,BUY,2508.73,2449.953485096734,2614.527726825879,2026-08-25T11:01:16.220564+05:00,2026-08-25T19:00:19.308304+05:00,LOSS,STOP LOSS HIT,2449.953485096734,-2.34287926174862,-1.0,2.7396332008625888,1.1693445947435845,0.26706740063696843,0.11399110700977451,61.02,11.0,1.8000000000000016,"PRESSURE,ORDER_BLOCK,BREAKER,RESISTANCE,PRICE_ACTION,ASC_TRIANGLE,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,ASC_TRIANGLE,BREAKER,BULL_FLAG,ORDER_BLOCK,PRESSURE,PRICE_ACTION,RANGE_BREAKOUT,RSI"
20260825131300235548_2c5ae652,DOTUSDT|SELL|2026-08-25 12:00:00+00:00,DOTUSDT,SELL,0.887,0.9074498400392201,0.8501902879294038,2026-08-25T18:13:00.235602+05:00,2026-08-26T06:13:39.567536+05:00,WIN,TARGET HIT,0.8501902879294038,4.149911169176577,1.8000000000000007,0.6764374295377683,0.2934008280012356,4.5095828635851225,1.9560055200082376,10.25,62.14,1.8000000000000007,"VOLUME,LH_LL,BOS,SUPPORT,DOUBLE_TOP,TRIPLE_TOP,BEAR_FLAG,RANGE_BREAKDOWN","1H_TREND,BEAR_FLAG,BOS,DOUBLE_TOP,LH_LL,RANGE_BREAKDOWN,RSI,TRIPLE_TOP,VOLUME"
20260826140100309565_61cd9189,TRXUSDT|SELL|2026-08-26 13:00:00+00:00,TRXUSDT,SELL,0.3348,0.3394111245337424,0.32649997583926366,2026-08-26T19:01:00.309611+05:00,2026-08-28T07:01:05.161457+05:00,LOSS,STOP LOSS HIT,0.3394111245337424,-1.3772773398274807,-1.0,1.4336917562724094,1.040960825255424,0.17921146953404704,0.13012010315692502,15.05,61.26,1.8000000000000003,"PRESSURE,VOLUME,BOS,ORDER_BLOCK,BREAKER,SUPPORT,PRICE_ACTION,DESC_TRIANGLE,BEAR_FLAG,RANGE_BREAKDOWN","1H_TREND,BEAR_FLAG,BOS,BREAKER,DESC_TRIANGLE,ORDER_BLOCK,PRESSURE,PRICE_ACTION,RANGE_BREAKDOWN,VOLUME"
20260827080048568054_ba851f43,LINKUSDT|BUY|2026-08-27 07:00:00+00:00,LINKUSDT,BUY,11.674,11.475978077855292,12.030439459860474,2026-08-27T13:00:48.568121+05:00,2026-08-28T07:01:05.331614+05:00,WIN,TARGET HIT,12.030439459860474,3.053276168069856,1.8000000000000034,0.5567928730512207,0.3282464855204245,3.2979270173034076,1.9442291834671435,64.98,4.0,1.8000000000000034,"PRESSURE,BOS,ORDER_BLOCK,BREAKER,PRICE_ACTION,ASC_TRIANGLE,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,ASC_TRIANGLE,BOS,BREAKER,BULL_FLAG,ORDER_BLOCK,PRESSURE,PRICE_ACTION,RANGE_BREAKOUT,RSI"
20260828030025726372_0f8daf93,APTUSDT|SELL|2026-08-28 02:00:00+00:00,APTUSDT,SELL,0.563,0.5718593239891276,0.5423282440253687,2026-08-28T08:00:25.726419+05:00,2026-08-28T08:01:26.388181+05:00,LOSS,STOP LOSS HIT,0.5718593239891276,-1.5735921827935522,-1.0,1.9538188277087052,1.2416297240623984,0.5328596802841726,0.33862628838064157,8.92,64.77,2.333333333333325,"PRESSURE,VOLUME,BOS,DOUBLE_TOP,ASC_TRIANGLE,BEAR_FLAG,RANGE_BREAKDOWN","1D_BIAS,1H_TREND,4H_TREND,BEAR_FLAG,BOS,DOUBLE_TOP,PRESSURE,RANGE_BREAKDOWN,RSI,VOLUME"
20260825140028498853_672ecc7a,LTCUSDT|SELL|2026-08-25 13:00:00+00:00,LTCUSDT,SELL,50.77,51.66256712559095,48.914060241726794,2026-08-25T19:00:28.498902+05:00,2026-08-28T15:01:09.758398+05:00,WIN,TARGET HIT,48.914060241726794,3.6555835301816204,2.079327935189685,1.1621036044908337,0.6610147103607182,3.919637581248773,2.229524192572608,15.05,60.97,2.079327935189685,"PRESSURE,VOLUME,LH_LL,BOS,ORDER_BLOCK,BREAKER,SUPPORT,BEAR_FLAG,RANGE_BREAKDOWN","1H_TREND,BEAR_FLAG,BOS,BREAKER,LH_LL,ORDER_BLOCK,PRESSURE,RANGE_BREAKDOWN,RSI,VOLUME"
20260827090106659147_07346f77,BTCUSDT|BUY|2026-08-27 08:00:00+00:00,BTCUSDT,BUY,79755.99,78507.45564916481,82003.35183150336,2026-08-27T14:01:06.659213+05:00,2026-08-28T20:00:59.362764+05:00,LOSS,STOP LOSS HIT,78507.45564916481,-1.5654427345647572,-1.0,1.6712976667959438,1.0676198048602639,2.1601888460039054,1.3799219852040812,75.65,10.0,1.8000000000000023,"PRESSURE,VOLUME,BOS,FVG,DOUBLE_BOTTOM,TRIPLE_BOTTOM,ASC_TRIANGLE,DESC_TRIANGLE,BULL_FLAG,RANGE_BREAKOUT","1D_BIAS,1H_TREND,4H_TREND,ASC_TRIANGLE,BOS,BULL_FLAG,DOUBLE_BOTTOM,FVG,PRESSURE,RANGE_BREAKOUT,RSI,TRIPLE_BOTTOM,VOLUME"
